# NPs NSTEPS comp
10 2097153 2.709835
100 8193 0.103162
100 4097 0.068748
10000 131073 6403.107208
1000 1048577 393.974917
10 524289 0.660531
100 2049 0.022313
10 4097 0.008559
100 2097153 20.041409
10 262145 0.402710
1000 32769 14.439775
10 16385 0.033309
10 2097153 2.674231
10 8193 0.011750
10 2049 0.003911
10 1048577 2.103980
100 524289 8.420306
100 8193 0.092955
10000 8193 410.936794
1000 16777217 6072.693173
100 524289 5.581039
100 8193 0.114738
100 131073 2.203390
100 4194305 47.070203
10 524289 1.071753
10 32769 0.043335
100 32769 0.320377
10 4097 0.008463
10000 1025 31.073243
100 16385 0.182998
100 131073 1.007729
10000 65537 3736.171231
10 16385 0.027259
1000 1025 0.337791
100 2097153 33.541778
1000 65537 115.006186
1000 131073 100.413141
1000 16385 6.020422
100 16385 0.222381
100 1048577 9.999688
100 1048577 16.819429
10 8193 0.014478
10000 65537 1886.306043
10 8193 0.016445
100 1048577 9.957172
1000 8193 7.563592
100 16385 0.137933
100 1048577 16.935205
100 129 0.001941
100 524289 5.332539
10 1048577 1.329408
10 16385 0.021979
100 2097153 33.567555
100 1048577 11.614886
100 16385 0.203659
10 524289 1.051784
10 2049 0.004273
1000 32769 13.200079
10 1048577 0.980737
10 1048577 1.332840
100 8193 0.099458
10 524289 0.635838
10 524289 0.663558
10 16777217 25.687617
10 16385 0.033170
100 4097 0.034598
100 524289 4.276254
10 513 0.001101
10000 131073 6278.650410
100 2097153 20.159547
1000 1048577 398.343029
10 262145 0.335336
10 524289 0.671467
100 131073 1.380859
100 2097153 33.869081
1000 257 0.116378
10000 8193 246.913759
1000 16777217 5671.736442
10 131073 0.166265
10 16385 0.023645
1000 1048577 365.348474
10 8193 0.014263
10 524289 0.665028
100 1025 0.016595
100 16385 0.224412
100 513 0.011462
100 16385 0.227201
1000 16385 5.809140
10000 65537 1999.253822
10 262145 0.332773
10 1048577 1.247223
10 4097 0.007294
100 8193 0.131592
100 4097 0.041819
100 8193 0.093169
1000 1048577 360.411387
100 513 0.011095
100 2097153 24.385359
100 8193 0.092327
10 1025 0.003812
100 4194305 40.776612
100 524289 5.309930
10 1025 0.004037
10000 65537 3680.577283
100 262145 4.220120
10 16777217 16.237507
10 524289 1.089105
100 32769 0.343819
10 129 0.000600
100 2097153 14.727009
100 16777217 123.679872
10 16385 0.022554
100 2097153 22.212261
10 1048577 2.124861
100 129 0.001520
10000 8193 262.651671
100 16385 0.223794
10 262145 0.356826
10 8193 0.013773
10 2097153 2.540492
10 8388609 11.303241
100 1048577 10.292358
100 1048577 16.811153
100 524289 5.634496
10 8193 0.013738
1000 131073 47.958102
10000 1048577 31418.279395
100 8193 0.133184
10 524289 0.625679
10 4097 0.006802
100 524289 8.480060
100 524289 5.162444
10 8193 0.014135
100 524289 8.431673
10 2097153 4.176074
100 2097153 22.095583
100 8193 0.101258
10 1048577 1.251008
100 524289 4.287298
1000 4194305 2021.212438
10 524289 0.528793
100 2097153 20.023629
10 4097 0.008405
100 1048577 16.955609
